English words/sentences,Vietnamese words/sentences
Tom and Mary said they never wanted this to happen.,Tom và Mary nói là họ chưa bao giờ mong muốn điều này xảy ra.
It looked like Tom and Mary were about to cry.,Có vẻ Tom và Mary sắp khóc.
Tom and Mary are too weak to look after themselves.,Tom và Mary quá yếu để tự chăm sóc bản thân.
I consider Tom and Mary to be my best friends.,Tôi coi Tom và Mary là những người bạn thân nhất của tôi.
Tom and Mary said they've been robbed three times.,Tom và Marry nói họ bị trộm tới 3 lần.
Tom and Mary said that they were really surprised.,Tom và Mary nói rằng họ đã thực sự rất ngạc nhiên.
Tell Tom and Mary that I'm too tired to help them.,Hãy nói với Tom và Mary rằng tôi quá mệt để giúp đỡ họ rồi.
Tom and Mary said they were too busy to do that.,Tom và Mary nói họ quá bận để làm việc đó.
What have Tom and Mary told you about me?,Tom và Mary đã nói gì với bạn về tôi.
"Tom and Mary haven't done that yet, have they?",Tom và Marry chưa làm chuyện ấy phải không nhỉ?
Tom and Mary want me to give them some space.,Tom và Mary muốn tôi cho bọn họ chút không gian.
We all knew Tom and Mary were bluffing.,Chúng tôi đều biết là Tom và Mary đang nói điêu.
Tom and Mary said they were feeling thirsty.,Tom và Mary nói là họ thấy khát nước.
Tom and Mary said they were feeling thirsty.,Tom và Mary nói là họ đã cảm thấy khát.
I think Tom and Mary speak French well.,Tôi nghĩ Tom và Mary đều nói tiếng Pháp tốt.
I don't care if Tom and Mary go or not.,Tôi không quan tâm việc Tom và Mary có đi hay không.
Tom and Mary have everything that they need.,Tom và Mary đã có mọi thứ họ cần.
Do you think Tom and Mary were annoyed?,Cậu có nghĩ Tom và Mary cảm thấy khó chịu không?
Tom and Mary said they wanted to go home.,Tom và Mary nói họ muốn về nhà.
Tom and Mary told me they won't do that.,Tom và Mary nói với tôi họ sẽ không làm điều đó.
I think Tom and Mary want our help.,Tôi nghĩ Tom và Mary muốn chúng tôi giúp đỡ.
Tom and Mary said they wouldn't help me.,Tom và Mary nói là họ sẽ không giúp tôi.
Tom and Mary said they wouldn't help me.,Tom và Mary nói là họ sẽ không giúp đỡ tôi.
Tom and Mary know what they ought to do.,Tom và Mary biết là họ cần phải làm gì.
I bet Tom and Mary know the answer.,Tôi cá rằng Tom và Mary biết câu trả lời.
Do Tom and Mary still study French?,Tom và Mary vẫn học tiếng Pháp à?
Tom and Mary didn't say where they went.,Tom và Mary không có nói họ đi đâu.
Tom and Mary didn't say where they went.,Tom và Mary không nói là họ đã đi đâu.
Tom and Mary believe they could do that.,Tom và Mary tin là họ có thể làm điều đó.
Tom and Mary believe they could do that.,Tom và Mary tin rằng họ có thể làm được việc đó.
Tom and Mary don't want to see me.,Tom và Mary không muốn gặp tôi.
I thought Tom and Mary were wrong.,Tôi nghĩ Tom và Mary đã sai.
I bet Tom and Mary were surprised.,Tôi cá là Tom và Mary đã ngạc nhiên.
What are Tom and Mary carrying?,Tom và Mary đang cầm cái gì thế?
What are Tom and Mary carrying?,Tom và Mary đang cầm cái gì vậy?
Are Tom and Mary still working?,Tom và Mary vẫn đang làm việc có đúng không?
Why were Tom and Mary invited?,Tại sao Tom và Mary lại được mời?
Why were Tom and Mary invited?,Sao Tom và Mary lại được mời?
Tom and Mary washed their faces.,Tom và Mary đã rửa mặt.
Are Tom and Mary home?,Tom và Mary có ở nhà không?
What makes you think that Tom is planning to resign?,Điều gì khiến bạn nghĩ rằng Tom sẽ từ chức?
Somebody's singing.,Có ai đó đang hát.
I wonder whether or not Tom forgot to tell Mary she needed to do that.,Tôi tự hỏi không biết là Tom có quên nói với Mary rằng cô ấy cần phải làm việc đó không.
I wonder whether or not Tom forgot to tell Mary she needed to do that.,Tôi băn khoăn không biết là Tom có quên nói với Mary là cô ấy cần phải làm điều đó không.
I wonder whether Tom can come or not.,Tôi tự hỏi là Tom có thể đến được hay không.
I don't like my wife calling me at work.,Tôi không thích vợ tôi gọi điện thoại cho tôi trong lúc tôi đang làm việc.
I don't like my wife to call me at work.,Tôi không thích vợ tôi gọi điện thoại cho tôi trong lúc tôi đang làm việc.
Everybody knows Tom is lying.,Mọi người đều biết là Tom đang nói dối.
Everybody knows Tom is lying.,Ai cũng biết là Tom đang nói dối.
Everybody knows Tom is lying.,Tất cả mọi người đều biết là Tom đang nói dối.
Everybody knows Tom is lying.,Tất cả ai cũng biết là Tom đang nói dối.
Does Tom live alone?,Tom sống một mình à?
Does Tom live by himself?,Tom sống một mình à?
Both Tom and Mary saw John.,Cả Tom và Mary đều thấy John.
Tom doesn't know when Mary is planning on going to Boston.,Tom không biết Mary định khi nào sẽ đi đến Boston.
Tom doesn't know when Mary is planning on going to Boston.,Tom không biết là Mary định khi nào sẽ đi đến Boston.
Tom has been working as a teacher for thirty years.,Anh ấy đã và đang làm việc với tư cách là một giáo viên trong 30 năm.
Tom and Mary are going to get married next summer.,Tom và Marry hè năm sau định tổ chức đám cưới.
Tom said he doesn't like this kind of food.,Tom nói là anh ấy không thích những món ăn như thế này.
Tom and Mary are actually on the same team.,Thực sự Tom và Mary ở cùng một nhóm.
I understand French better than I speak it.,Tôi hiểu tiếng Pháp tốt hơn tôi nói nó.
Women's clothes are on the third floor.,Quần áo của phụ nữ ở trên tầng ba.
Tom doesn't want to be a veterinarian.,Tom không muốn trở thành bác sĩ thú y.
Tom doesn't want to become a fireman.,Tom không muốn trở thành lính cứu hỏa.
Tom is wearing expensive clothes.,Tom mang đồ đắc tiền.
That's a very beautiful painting.,Đó là một bức tranh rất đẹp.
I took a picture of the schedule.,Tôi chụp hình của thời khóa biểu.
Tom is likely to come home soon.,Chắc Tom sẽ về nhà sớm thôi.
Tom is likely to come home soon.,Có lẽ Tom sẽ về nhà sớm thôi.
I met Tom at a party last week.,Tuần trước tôi đã gặp Tom ở một bữa tiệc.
Are you two traveling together?,Hai bạn đang đi du lịch cùng nhau có phải không?
We should try something else.,Chúng ta nên thử cái khác.
Tom is looking for a lawyer.,Tom đang tìm một luật sư.
This is a very good book.,Đây là một cuốn sách rất hay.
This is a very good book.,Đây là một quyển sách rất hay.
I can tell Tom anything.,Tôi có thể nói với Tom bất cứ điều gì.
Mary wore a strapless dress to the party.,Mary đã mặc một chiếc váy không dây đến bữa tiệc.
Mary wore a strapless dress to the party.,Mary đã mặc 1 chiếc váy không dây đến bữa tiệc
I am not authorized to answer that question.,Tôi không có thẩm quyền để trả lời câu hỏi này.
I am not authorized to answer that question.,Tôi không có đủ thẩm quyền để trả lời câu hỏi này.
Tom burned his tongue on the hot cheese.,Tom bỏng lưỡi của anh ấy trên miếng phô mai nóng
Do you really want to wear that?,Bạn có thật sự muốn mặc thứ đó không?
Do you really want to wear that?,Bạn thực sự muốn mặc cái đó sao?
That man has long hair.,Người đàn ông đó để tóc dài.
I would also like to see the ocean.,Tôi cũng muốn nhìn thấy đại dương.
Are there fish in this pond?,Ao này có cá không?
Why didn't you say it earlier?,Tại sao bạn không nói điều đó sớm hơn?
It is about time you studied vocabulary!,Đáng lẽ ra bạn đã phải học từ vựng rồi mới phải!
Sami is sixty-six years old.,Sami 66 tuổi.
Have you read Milton's works?,Bạn đã bao giờ đọc các tác phẩm của Milton chưa?
Could you please elaborate?,Bạn có thể giải thích rõ hơn được không?
Can I borrow your hammer?,Tôi có thể mượn cái búa của bạn được không?
Have I accidentally created a magical elixir?,Có phải tôi đã tình cờ tạo ra một loại thuốc ma thuật không?
Yay! Our team won again.,"Hoan hô, đội của chúng ta lại thắng."
Where do your ancestors come from?,Tổ tiên của bạn đến từ đâu vậy?
Think!,Nghĩ đi!
Think!,Hãy nghĩ đi!
Let's go! It's my turn! Draw!,Tiến lên nào! Đây là lượt của ta! Rút thẻ!
"Oh, OK.","Ồ, OK."
"Oh, OK.","Ồ, được thôi."
I've never seen snowfall in Florida before.,Tôi chưa thấy tuyết rơi ở Florida bao giờ.
I've never seen snowfall in Florida before.,Tôi chưa bao giờ thấy tuyết rơi ở Florida.
Most people should think that.,Đại đa số mọi người chắc chắn đều nghĩ vậy.
Most people should think that.,Đại đa số mọi người chắc chắn đều nghĩ như vậy.
We're enemies.,Chúng ta là kẻ thù với nhau.
That was brutal.,Điều đó thật tàn bạo.
Nothing seems more certain than death.,Ai rồi cũng phải chết.
I thought you were her friend.,Tôi cứ tưởng cậu là bạn của cô ấy.
Men are idiots.,Đàn ông ai cũng ngu.
That's what happened the last time.,Chuyện lần trước nó là như vậy đấy.
Tom went on a trip.,Tom đã đi du lịch.
She's right behind you!,Cô ấy ở ngay đằng sau bạn đấy!
He behaved as if he were a detective; I think he reads too many detective stories.,Anh ta cứ hành động giống như một thám tử. Tôi nghĩ chắc anh ta đọc quá nhiều truyện trinh thám rồi.
He behaved as if he were a detective; I think he reads too many detective stories.,Nó cứ ra vẻ mình là một thám tử. Chắc nó đọc quá nhiều truyện trinh thám rồi.
Could you please wash this apple for me?,Bạn rửa quả táo này giúp tôi được không?
Could you please wash this apple for me?,Bạn có thể giúp tôi rửa trái táo này không?
Could you please wash this apple for me?,Bạn có thể rửa giúp tôi quả táo này được không?
Mary wore a strapless dress.,Mary đã mặc một chiếc váy không dây.
I'm not going to Tom's apartment.,Tôi sẽ không đến căn hộ của Tom.
I feel she doesn't love me any longer.,Tôi cảm thấy là cô ấy không còn yêu tôi nữa.
Let Tom wait.,Hãy để Tom đợi.
Tom told me Mary said she didn't want to do that anymore.,Tom nói với tôi rằng Mary nói là cô ấy không muốn làm việc đó nữa.
Tom told me I should resign.,Tom bảo tôi nên thôi việc.
Tom told me I should resign.,Tom bảo tôi nên nghỉ việc.
Tom told me he's already read that book.,Tom nói với tôi anh ấy đã đọc cuốn sách đó rồi.
Tom told me he wanted to go to Boston.,Tom nói với tôi là anh ấy muốn đi đến Boston.
Tom told me he wanted to go to Boston.,Tom nói với tôi là anh ấy muốn đi Boston.
Tom says he's never lied to Mary.,Tom nói rằng nó chưa bao giờ nói dối Mary.
Tom says he's never lied to Mary.,Tom nói là anh ta chưa nói dối Mary bao giờ.
Tom says he's able to communicate with the dead.,Tom nói ông ta có thể giao tiếp với người chết.
Tom said that he thought that Mary wouldn't cry.,Tom nói rằng anh ấy tưởng Mary sẽ không khóc.
Tom said that he thought Mary wasn't afraid.,Tom nói là anh ấy tưởng Mary không sợ.
Tom said that he thought that Mary wasn't afraid.,Tom nói là anh ấy tưởng Mary không sợ.
Tom said that he hopes you won't do that.,Tom nói là anh ấy mong bạn sẽ không làm điều đó.
Tom said that he hopes that you won't do that.,Tom nói là anh ấy mong bạn sẽ không làm điều đó.
"Tom said that he'd be able to do that, but he wasn't able to.","Tom nói rằng anh ta có thể làm được điều đó, nhưng anh ta lại không thể làm được."
Tom said that he was going to quit.,Tom đã nói anh ấy sẽ rời đi.
Tom said that he was going to quit.,Tom đã nói anh ấy định nghỉ việc.
Tom said he thought that Mary wasn't afraid.,Tom nói là anh ấy tưởng Mary không sợ.
Tom said he thought that Mary was jealous.,Tom nói anh ấy nghĩ rằng Mary đang ghen.
Tom said he thought that Mary needed at least $300 to buy everything she needed.,Tom nói là anh ấy nghĩ rằng Mary cần ít nhất 300 Đô-la để mua tất cả những thứ mà cô ấy cần.
Tom said that he shouldn't have done that by himself.,Tom nói cậu ấy đáng ra không nên làm vậy một mình.
Tom said that he knew where Mary learned how to do that.,Tom nói là anh ấy biết Mary đã học cách làm điều đó ở đâu.
Tom said he hopes you won't do that.,Tom nói là anh ấy mong bạn sẽ không làm điều đó.
Tom said he hopes that you won't do that.,Tom nói là anh ấy mong bạn sẽ không làm điều đó.
Tom said that he heard the gunshots.,Tom đã nói rằng anh ấy nghe thấy tiếng súng.
Tom said that he doesn't know where Mary went.,Tom nói rằng anh ấy không biết Mary đi đâu.
Tom said that he didn't want to leave.,Tom đã nói rằng anh ấy không muốn rời đi.
Tom said that he didn't have the confidence to do that.,Tom nói cậu ấy không đủ tự tin để làm việc đó.
Tom said that he didn't have a choice.,Tom nói là anh ta không còn lựa chọn nào khác.
Tom said that he didn't have a choice.,Tom nói ông ta không còn lựa chọn nào khác.
Tom is a reliable worker.,Tom là một nhân viên đáng tin cậy.
I don't want to go to the beach with you today.,Hôm nay tôi không muốn đi ra bãi biển với bạn.
I don't want to go to the beach with you today.,Tôi không muốn đi ra bãi biển với bạn hôm nay.
Why does everyone think I can do this but me?,"Tại sao trừ chính tôi ra, ai cũng nghĩ là tôi có thể làm được điều này?"
I got kicked out of school three months ago.,Tôi đã bị đuổi học cách đây ba tháng.
I got kicked out of school three months ago.,Tôi đã bị đuổi khỏi trường ba tháng trước.
Tom is trying to figure out how to do that now.,Tom đang cố gắng tìm cách làm điều đó ngay bây giờ.
Tom majored in biology.,Chuyên ngành của Tom là sinh học.
You don't look very much like your father.,Bạn trông không giống bố bạn cho lắm.
"Tom is intoxicated, but Mary isn't.","Tom đã bị nhiễm độc, nhưng Mary thì không."
I don't think Tom will like the soup I made.,Tôi không nghĩ Tom sẽ thích món súp mà tôi làm.
I don't plan to stay here much longer.,Tôi không muốn tiếp tục ở đây.
"They looked at Tom, but they didn't say anything.","Họ nhìn Tom, nhưng họ không nói gì."
I wish I knew what Tom was thinking.,Ước gì tôi biết Tom đang nghĩ gì.
I wish I knew what Tom was thinking.,Tôi ước gì tôi biết những gì Tom đang nghĩ trong đầu.
I don't go out by myself after dark.,Tôi không đi ra ngoài một mình sau khi trời đã tối.
"Tom is bald, but John isn't.",Tom thì hói nhưng John thì không.
I don't really want to go bowling with Tom.,Tôi thật sự không muốn đi chơi bô-linh với Tom.
I don't really want to go bowling with Tom.,Thực sự tôi không muốn đi chơi bowling với Tom.
I don't really want to go bowling with Tom.,Tôi không thật sự muốn đi chơi bowling với Tom.
I almost always do that by myself.,Tôi gần như lúc nào cũng tự làm điều đó một mình.
I almost always do that by myself.,Tôi gần như lúc nào cũng tự làm điều đó.
Tom was planning on doing that tomorrow.,Tom đã lên kế hoạch làm điều đó vào ngày mai.
I almost never kiss my children.,Hầu như tôi chưa bao giờ hôn các con của mình.
Tom doesn't gamble anymore.,Tom không còn cá độ nữa.
I like Tom's straight-forwardness.,Tôi thích tính thẳng thắn của Tom.
I have a feeling that Tom might be there.,Tôi có cảm giác là Tom sẽ ở đó.
I don't have a husband.,Tôi không có chồng.
Sami and Layla met in the summer of 2006.,Sami và Layla đã gặp nhau vào mùa hè năm 2006.
People who were in the army don't laugh at the circus.,Những người đã từng tham gia quân ngũ không cười trong rạp xiếc.
I suspect Tom and Mary are the ones who did that.,Tôi nghi ngờ Tom và Mary chính là những người đã làm điều đó.
I suspect Tom and Mary are the ones who did that.,Tôi nghi Tom và Mary đã làm việc đó.
I suspect that Tom and Mary are confused.,Tôi nghi là Tom và Mary đang bối rối.
"I could've killed you, but I didn't.",Tôi có thể giết cậu nhưng tôi đã không làm vậy.
You should've come a little earlier.,Lẽ ra bạn nên đến sớm hơn một chút.
You should've come a little earlier.,Đáng lẽ ra bạn nên tới sớm hơn một chút.
You should've come a little earlier.,Bạn đáng rẽ ra nên đến sớm hơn một chút.
I should've done this weeks ago.,Tôi nên làm việc này từ vài tuần trước.
"If I'd known Tom's address, I could've visited him.","Nếu tôi biết địa chỉ của Tom, thì tôi đã có thể đến thăm anh ấy rồi."
Tom must've drunk too much last night.,Tom hẳn là đã uống rất nhiều vào tối qua.
The ball rolled under the sofa.,Quả bóng lăn xuống gầm cái ghế sofa.
The old woman lives in a yurt.,Bà cụ đó sống ở trong một cái lều yurt.
The old woman lives in a yurt.,Bà cụ ấy sống ở trong một cái lều yurt.
Tomorrow I will do a new activity.,Ngày mai tôi sẽ làm một hoạt động mới.
Tom bought a parrot.,Tom mua một con vẹt.
I'm probably not the only one who does that.,Tôi có lẽ không phải là người duy nhất làm điều đó.
It isn't easy to get rid of bad habits.,Từ bỏ những thói quen xấu là một việc không đơn giản.
I'm not quite happy at the moment.,Vào lúc này tôi không hoàn toàn hạnh phúc.
How old are your sisters?,Chị em trong nhà bạn bao nhiêu tuổi?
"I went fishing this morning, but didn't catch anything.","Sáng nay tôi đi câu cá, nhưng không câu được gì cả."
"In the Turkish language, there are many Persian words.",Trong tiếng Thổ Nhĩ Kỳ có nhiều từ tiếng Ba Tư.
"In the Turkish language, there are many Persian words.",Trong tiếng Thổ có nhiều từ tiếng Ba Tư.
They eat ham.,Họ ăn giăm bông.
I'm the only one that did that wrong.,Tôi là người duy nhất đã làm sai việc đó.
Sami was afraid of failure.,Sami sợ thất bại.
Surely you can't be serious.,Chắc chắn là bạn không thể nghiêm túc được.
"Without his glasses, Tom can hardly see anything.",Nếu không có kính thì Tom hầu như không nhìn thấy gì đâu.
Tom spends a lot of his free time reading.,Tom dành nhiều thời gian rảnh để đọc.
We often eat breakfast in the kitchen.,Chúng tôi thường hay ăn sáng trong bếp.
"Tom was wearing a blue shirt and Mary was, too.",Tom mặc một cái áo xanh và Mary cũng vậy.
"Tom was wearing a blue shirt and Mary was, too.",Tom mặc một chiếc áo màu xanh và Mary cũng vậy.
Do you really have to leave?,Thực sự bạn phải rời đi sao?
Sami runs a website.,Sami điều hành một trang web.
Sami was riding that motorbike.,Sami đã lái chiếc xe máy đó.
Sami was riding that motorbike.,Sami đang lái chiếc xe đó.
Sami will regret this.,Sami sẽ hối hận về điều này.
Sami will regret this.,Rồi Sami sẽ hối hận về điều này.
Sami will regret this.,Sami rồi sẽ biết tay tôi.
Are you going to do your homework before dinner?,Bạn có định làm bài tập trước bữa tối không?
Are you going to do your homework before dinner?,Con có định làm bài tập trước bữa tối không?
Sami is not telling the truth.,Sami không nói sự thật.
Do you have a tennis racket?,Bạn có vợt tennis không?
I denied that I was the one who did that.,Tôi đã phủ nhận rằng tôi là người đã làm điều đó.
I ran as fast as I was able to.,Tôi đã chạy nhanh nhất mà mình có thể.
Indiana Jones wondered if it wasn't a trap when the room became silent.,"Khi căn phòng trở nên im lặng, Indiana Jones đã lăn tăn không biết đó là một cái bẫy hay không."
Indiana Jones wondered if it wasn't a trap when the room became silent.,"Khi căn phòng trở nên yên lặng, Indiana Jones băn khoăn không biết đó có phải là một cái bẫy hay không."
I didn't know Tom had to do that by himself.,Tôi không biết Tom phải tự mình làm điều đó.
I'm not as stubborn as Tom.,Tôi không ngoan cố như Tom.
Tom claims that he saw the accident.,Tom tuyên bố rằng anh ấy đã nhìn thấy vụ tai nạn.
The coat Tom wanted was too expensive. That's why he didn't buy it.,Cái áo khoác mà Tom muốn quá đắt. Thế nên anh ấy đã không mua nó.
Do you enjoy watching sports?,Bạn có thích xem thể thao không?
I was surprised when I found out Tom had a motorcycle.,Tôi bất ngờ khi phát hiện Tom có xe máy.
I've come here today to talk about the dangers of proprietary software.,Hôm nay tôi đến đây để nói về những rủi ro đến từ các phần mềm sở hữu độc quyền.
Where will you go next summer?,Mùa hè năm sau bạn sẽ đi đâu?
I've been accused of doing that.,Tôi bị buộc tội là đã làm điều đó.
Tom didn't allow Mary to enter his room.,Tom đã không cho phép Mary vào phòng anh ấy.
What a wonderful day it was today!,Hôm nay thật là một ngày tuyệt vời!
I went back to bed and slept for three more hours.,Tôi trở về giường và ngủ thêm ba tiếng.
Are these your skis?,Đây là đồ trược tuyết của bạn hả?
Tom and Mary are planning a trip to Europe.,Tom và Mary đang lên kế hoạch đi du lịch châu Âu.
I wish I were as strong as you.,Tôi ước tôi mạnh mẽ được như bạn.
I hope that you get better soon.,Tôi hy vọng rằng bạn sẽ sớm khỏe lại.
Does anyone want another piece of cake?,Có ai muốn một miếng bánh khác không?
Does everyone have to do this?,Mọi người phải làm chuyện này sao?
Has anyone contacted Tom?,Đã có ai liên lạc với Tom không?
Has anyone told Tom what he needs to do?,Đã có ai nói cho Tom biết những gì anh ấy cần phải làm không?
Are you still at school?,Bạn vẫn đang ở trường à?
"You don't eat very fast, do you?","Bạn ăn không được nhanh cho lắm, phải không?"
Was Tom the one who told you about this?,Có phải Tom là người đã kể cho bạn nghe về điều này không?
Was Tom the one who told you about this?,Có phải Tom đã kể cho bạn nghe về điều này không?
What're you laughing at?,Bạn đang cười cái gì vậy?
It's been three years since I came to Boston.,Đã ba năm kể từ khi tôi đến Boston.
How long is the flight from Boston to Chicago?,Chuyến bay từ Boston tới Chicago kéo dài bao lâu?
I didn't know Tom was Mary's boyfriend.,Tôi không biết Tom là bạn trai của Mary.
I didn't know Tom was Mary's boyfriend.,Tôi không biết Tom là bạn trai Mary.
Tom did everything he could do.,Tom đã làm tất cả mọi thứ có thể.
I've actually never studied French.,Thực sự tôi chưa bao giờ học tiếng Pháp.
"You don't eat meat anymore, do you?",Cậu không ăn thịt nữa phải không?
Tom asked Mary to turn on the light.,Tom bảo Mary bật cái đèn lên.
What should I give Tom for Christmas?,Tôi nên tặng gì cho Tom vào Giáng Sinh?
What should I give Tom for Christmas?,Tôi nên tặng gì cho Tom vào Giáng Sinh đây?
Tom told me he speaks French.,Tom nói với tôi anh ấy nói tiếng pháp.
Tom waited for Mary in front of the school.,Tom đã chờ Mary ở phía trước cổng trường.
Sami has six different Facebook accounts.,Sami có sáu tài khoản Facebook khác nhau.
Sami has six different Facebook accounts.,Sami có 6 tài khoản Facebook khác nhau.
Sami went to his mom's house.,Sami đã đến nhà của mẹ anh ấy.
I finally could sleep.,Cuối cùng tôi có thể ngủ.
Sami learned Arabic.,Sami đã học tiếng Ả Rập.
I'm afraid I ate too much.,Tôi lo là tôi đã ăn quá nhiều.
Sami doesn't work there anymore.,Sami không còn làm việc ở đây nữa.
Sami agreed to that.,Sami đã đồng ý rồi.
I have difficulty believing that.,Tôi thấy điều này khó tin quá.
"At nightfall, when the last rays of the sun color the prairie sky red, the howls of coyotes resonate through the hills.","Vào buổi tối, khi những tia nắng mặt trời cuối cùng nhuộm đỏ bầu trời thảo nguyên, tiếng hú của chó sói vang vọng qua những ngọn đồi."
It's not big enough.,Nó không đủ to.
Try this cake.,Thử món bánh này đi.
This is one of the worst movies I've ever seen.,Đây là một trong những bộ phim tệ nhất mà tôi từng xem.
Tom scanned the QR code with his phone.,Tom đã quét mã QR bằng điện thoại của mình.
Let me see what you've written.,Cho tôi xem bạn đã viết gì nào.
The swimming pool we swam in yesterday had a circular shape.,Cái bể bơi mà chúng tôi bơi hôm qua có hình tròn.
The swimming pool we swam in yesterday had a circular shape.,Cái bể bơi mà chúng tôi bơi ngày hôm qua có hình tròn.
Where's the food?,Đồ ăn đâu rồi?
Where's the food?,Đồ ăn đâu?
Where's the food?,Đồ ăn ở đâu?
Where's the food?,Thức ăn ở đâu?
Tom did not want to be taken advantage of.,Tom không muốn bị lợi dụng.
May I leave early?,Tôi có thể về sớm được không?
I plan to go home by myself.,Tôi dự định tự đi về nhà.
Mom buys a large slice of pork every Wednesday at the butcher's.,"Vào mỗi thứ Tư hằng tuần, mẹ thường mua một thớ thịt lợn tại cửa hàng thịt."
Tom is Mary's private tutor.,Tom là gia sư của Mary.
I'll see you after school.,Tôi sẽ gặp bạn sau giờ học.
Both of them are from Boston.,Hai người họ đều tới từ Boston.
We both can speak French.,Hai chúng tôi đều có thể nói tiếng Pháp.
We both can speak French.,Hai người chúng tôi đều biết nói tiếng Pháp.
We both can speak French.,Hai chúng tôi đều biết nói tiếng Pháp.
Tom was just pretending to be asleep.,Tom lúc đó chỉ đang giả vờ ngủ thôi.
My brother who lives in Boston is a doctor.,Anh trai tôi sống ở Boston là một bác sĩ.
I'm not a journalist.,Tôi không phải là nhà báo.
You should have called me.,Đáng lẽ bạn nên gọi cho tôi mới phải.
You should have called me.,Đáng lẽ ra bạn nên gọi cho tôi mới phải.
You should have called me.,Bạn đáng lẽ nên gọi điện cho tôi mới phải.
You should have called me.,Bạn đáng lẽ ra nên gọi điện cho tôi.
You should have called me.,Bạn đáng lẽ nên gọi cho tôi.
You should have called me.,Bạn đáng lẽ phải gọi cho tôi.
You should have phoned me.,Đáng lẽ ra bạn nên gọi cho tôi mới phải.
You should have phoned me.,Bạn đáng lẽ nên gọi điện cho tôi mới phải.
You should have phoned me.,Bạn đáng lẽ ra nên gọi điện cho tôi.
You should have phoned me.,Bạn đáng lẽ nên gọi cho tôi.
You should have phoned me.,Bạn đáng lẽ phải gọi cho tôi.
You should have phoned me.,Bạn đáng lẽ ra phải gọi điện thoại cho tôi.
Tom should have told the truth.,Đáng lẽ ra Tom nên nói sự thật.
Tom should have told the truth.,Tom đáng lẽ nên nói sự thật mới phải.
I should have apologized to Tom.,Đáng lẽ ra tôi nên xin lỗi Tom mới phải.
I should have done what Tom told me to do.,Đáng lẽ ra tôi nên làm điều mà Tom bảo tôi làm.
"If Tom had had time, I'm sure he would have visited Mary.","Nếu Tom có thời gian, tôi chắc chắn rằng anh ấy sẽ đến thăm Mary"
I thought it wasn't necessary to do that.,Tôi tưởng là không cần thiết phải làm việc đó.
Tom pretended to be his twin brother.,Tom giả vờ là anh trai sinh đôi của anh ấy.
I'm eating dinner with my husband.,Tôi đang ăn tối với chồng.
I'm afraid of bears.,Tôi sợ gấu.
I'm eating fruit.,Tôi đang ăn hoa quả.
We can't have our own way in everything.,Chúng ta không phải lúc nào cũng được làm theo ý mình.
Tom must have made a mistake.,Tom chắc hẳn đã phạm một sai lầm.
Tom must have made a mistake.,Chắc hẳn Tom đã phạm một sai lầm rồi.
Tom must have been thirsty.,tom chắc chắn đang khát nước
We're thankful for your kindness.,Chúng tôi biết ơn lòng tốt của bạn.
We're in need of some food.,Chúng tôi cần một ít thức ăn.
I'm not as afraid of heights as I used to be.,Tôi không còn sợ độ cao như trước nữa.
Would you rather be doing something else now?,Bạn có đang muốn làm gì đó khác không?
What do we need to do today?,Chúng tôi cần làm gì hôm nay
Are you sure Tom shouldn't do that?,Bạn có chắc là Tom không nên làm vậy không?
"Yes, I received it!","Vâng, tôi nhận được rồi!"
Does your head still hurt?,Đầu bạn có còn đau không?
Does your head still hurt?,Bạn có còn đau đầu không?
Does your head still hurt?,Đầu bạn vẫn còn đau à?
Are you good at bowling?,Bạn có giỏi chơi bowling không?
"You're not the only one who's supposed to do that, are you?","Bạn không phải là người duy nhất phải làm điều đó, phải không?"
"You aren't a mechanic, are you?",Bạn không phải là một thợ máy nhỉ?
Were you busy last Monday?,Thứ Bảy tuần trước bạn có bận không?
"You're much faster than me, aren't you?","Bạn nhanh hơn tôi nhiều, phải không?"
I'll let you know when it's ready.,"Lúc nào chuẩn bị xong, tôi sẽ báo cho bạn biết."
I'll let you know when it's ready.,"Khi nào chuẩn bị xong xuôi rồi, tôi sẽ báo cho bạn biết."
Tom's in line at the store.,Tom xếp hàng ở cửa tiệm.
This is far from perfect.,Điều này còn lâu mới hoàn hảo.
My parents are arguing again.,Bố mẹ tôi lại đang cãi nhau.
I watched that happen.,Tôi đã chứng kiến chuyện đó xảy ra.
Tom still owes me money.,Tom vẫn nợ tiền tôi.
Tom still owes me money.,Tom vẫn đang nợ tiền tôi.
"Which are you better at, baseball or volleyball?","Bạn giỏi môn nào hơn, bóng chày hay bóng chuyền?"
Doing that won't be as easy as you think.,Làm điều đó sẽ không dễ như bạn nghĩ đâu.
Maybe you and I could work together.,Chắc là tôi với bạn có thể làm việc cùng nhau.
Was the weather nice?,Thời tiết lúc đó có tốt không?
"I don't usually work on Mondays, but last week I did.","Tôi thường không làm việc vào các ngày thứ Hai, nhưng tuần trước tôi đã làm."
What's the point of studying?,Học hành để làm gì?
What's the point of studying?,Học để làm gì?
I washed a sink full of dishes three times today.,Hôm nay tôi đã rửa một chậu đầy bát ba lần.
I'm not going to take it.,Tôi sẽ không lấy nó.
It's far from being perfect.,Còn lâu mới hoàn chỉnh.
Tom should never have borrowed money from him.,Đáng lẽ ra Tom không bao giờ nên mượn tiền của anh ấy.
I have no one but you.,Tôi không có ai ngoài bạn.
"Tom is very obnoxious, isn't he?",Tom có phải là kẻ khó ưa không?
You have your hat on backwards.,Bạn đội mũ ngược rồi kìa.
